shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
80,7Iron,A,two2,hann,peak,none,ops,second,4.7,12,4,12.75719813968003,14.687999999999988,-1.9308018603199582,-0.9040915502390379,-0.885178600555804,0.01891294968323387,nan,0.2152939135018376,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
80,7Iron,A,four4,hann,peak,none,ops,second,4.7,12,4,13.471294710032206,14.687999999999988,-1.2167052899677824,-1.175539539526712,-1.174028995293373,0.0015105442333391839,0.3647467535960207,0.21607844674725848,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
81,7Iron,A,direct1,hann,peak,none,ops,second,4.7,11,4,5.070420755804342,9.146999999999982,-4.07657924419564,-0.8157207099493288,-0.7512129066362939,0.06450780331303485,nan,nan,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
81,7Iron,A,two2,hann,peak,none,ops,second,4.7,11,4,7.998607913089189,9.146999999999982,-1.1483920869107935,-0.8762025673948373,-0.8716287742631338,0.004573793131703474,nan,0.2697327277611555,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
81,7Iron,A,four4,hann,peak,none,ops,second,4.7,11,4,5.099281364951828,9.146999999999982,-4.047718635048154,-1.0536267761955664,-1.0373598745186605,0.01626690167690592,0.45726535401946444,0.38784593054435534,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
82,7Iron,A,direct1,hann,peak,none,ops,second,4.7,12,4,14.097614709931381,17.27599999999998,-3.178385290068597,-0.8417246633868554,-0.7893952532370108,0.0523294101498446,nan,nan,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
82,7Iron,A,two2,hann,peak,none,ops,second,4.7,12,4,13.864708824179104,17.27599999999998,-3.4112911758208746,-0.9186855605154618,-0.8569573718660985,0.06172818864936325,nan,0.1798931912224349,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
82,7Iron,A,four4,hann,peak,none,ops,second,4.7,12,4,12.541009877294924,17.27599999999998,-4.734990122705055,-1.046580807148803,-1.0136502877780693,0.03293051937073366,0.2805036889869393,0.1282697563018704,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
83,7Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,15.288011196798346,18.87599999999999,-3.587988803201645,-0.7706318167785794,-0.7312048331330767,0.03942698364550268,nan,nan,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
83,7Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,15.028311604223614,18.87599999999999,-3.847688395776377,-0.8185249171496191,-0.7640785016218125,0.0544464155278066,nan,0.18568831819363377,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
83,7Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,16.927929620049223,18.87599999999999,-1.9480703799507673,-0.9611021548909034,-0.9506009994087696,0.010501155482133817,0.27484754276808027,0.14147956141353307,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
84,7Iron,A,direct1,hann,peak,none,ops,second,4.7,6,2,13.007977543161878,16.949999999999992,-3.9420224568381137,-1.1052530175480613,-1.007378709373654,0.09787430817440734,nan,nan,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
84,7Iron,A,two2,hann,peak,none,ops,second,4.7,6,2,12.33935410172009,16.949999999999992,-4.610645898279902,-1.151451442050352,-1.03929084485384,0.11216059719651206,nan,0.15852026034810707,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
84,7Iron,A,four4,hann,peak,none,ops,second,4.7,6,2,16.418711144084448,16.949999999999992,-0.5312888559155446,-1.2349847509895153,-1.234693590917305,0.00029116007221041684,0.2266233991150955,0.11737458010541153,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
86,5Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,12.491873424027137,14.677,-2.1851265759728626,-0.935681688707288,-0.9149011458365269,0.020780542870761032,nan,nan,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
86,5Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,11.173482944015033,14.677,-3.5035170559849664,-0.9983024678122016,-0.9641303828461886,0.03417208496601298,nan,0.19401158875368946,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
86,5Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,9.608295549939799,14.677,-5.068704450060201,-1.3798324250775071,-1.3437540904678202,0.0360783346096869,0.3528535419670269,0.22772623366445538,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
87,5Iron,A,direct1,hann,peak,none,ops,second,4.7,10,4,13.307471600765732,15.406999999999991,-2.0995283992342593,-0.9659710511005031,-0.9378125433001016,0.028158507800401522,nan,nan,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
87,5Iron,A,two2,hann,peak,none,ops,second,4.7,10,4,12.82703398424394,15.406999999999991,-2.5799660157560513,-1.0321793823210417,-0.9938351444342066,0.03834423788683505,nan,0.1475821493534174,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
87,5Iron,A,four4,hann,peak,none,ops,second,4.7,10,4,13.15081615219438,15.406999999999991,-2.2561838478056107,-1.1822852210648411,-1.1726084494790292,0.009676771585811927,0.21836478680160581,0.17429278864698688,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
88,5Iron,A,direct1,hann,peak,none,ops,second,4.7,12,3,-4.4810783029213095,0.5110000000000001,-4.99207830292131,-0.7625491879632832,-0.6748240039216266,0.08772518404165663,nan,nan,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
88,5Iron,A,two2,hann,peak,none,ops,second,4.7,12,3,-2.5538421000171323,0.5110000000000001,-3.0648421000171324,-0.8540152502957934,-0.8438117802171314,0.010203470078661958,nan,0.7198020920525376,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
88,5Iron,A,four4,hann,peak,none,ops,second,4.7,12,3,-5.0,0.5110000000000001,-5.511,-0.9219646217477632,-0.9059777708490199,0.0159868508987433,0.9850805523536001,0.7210519701488612,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
90,5Iron,A,direct1,hann,peak,none,ops,second,4.7,9,3,6.786609726913418,12.959999999999992,-6.173390273086574,-0.6795100317579469,-0.5834624183678591,0.09604761339008783,nan,nan,54.04704641161587,50.56141437408992,0.1524,10.404948650719305
90,5Iron,A,two2,hann,peak,none,ops,second,4.7,9,3,8.375047190799574,12.959999999999992,-4.584952809200418,-0.7391179302607441,-0.6843854331050502,0.05473249715569395,nan,0.27936926858352323,54.04704641161587,50.56141437408992,0.1524,10.404948650719305
