shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
68,9Iron,last3,truth,35,0.575524785605896,5.689999999999997,-5.114475214394101,5.433355444488774,-4.857830658882879,-17.644417541488878,-9.693699114979387,6.922217407779179,0.8668930023643372,0.8752067620942047,0.0,0.0
69,9Iron,first3,local,41,15.52723155254835,21.013999999999996,-5.486768447451645,20.622334843166584,-5.095103290618233,-13.360826307102933,-4.663018252708681,18.202344960823492,0.8216899155945855,0.9152512767622716,0.0,14.634146341463413
69,9Iron,first3,truth,41,15.796074310600433,21.013999999999996,-5.2179256893995625,20.6218791452787,-4.825804834678268,-13.192105475718124,-4.663018252708681,18.202344960823492,0.8165612008395624,0.9141579239267312,0.0,14.634146341463413
69,9Iron,middle3,local,32,17.094589498931747,21.013999999999996,-3.919410501068249,20.56187318335009,-3.4672836844183443,-9.876810738368766,-3.7940811884726626,19.547131966650326,0.8338512332016648,0.9114836249976606,15.625,28.125
69,9Iron,middle3,truth,32,17.453844257953634,21.013999999999996,-3.560155742046362,20.561443335624386,-3.107599077670752,-9.35570113014785,-3.7940811884726626,19.547131966650326,0.8391008434302301,0.9108335659727198,15.625,28.125
69,9Iron,last3,local,32,17.094589498931747,21.013999999999996,-3.919410501068249,20.56187318335009,-3.4672836844183443,-9.876810738368766,-3.7940811884726626,19.547131966650326,0.8338512332016648,0.9114836249976606,15.625,28.125
69,9Iron,last3,truth,32,17.453844257953634,21.013999999999996,-3.560155742046362,20.561443335624386,-3.107599077670752,-9.35570113014785,-3.7940811884726626,19.547131966650326,0.8391008434302301,0.9108335659727198,15.625,28.125
70,9Iron,first3,local,39,17.606328641241713,22.12999999999998,-4.523671358758268,21.63731802974961,-4.030989388507898,-4.6088347806958865,-3.9363932641854196,19.528313892342922,0.8223869513350995,0.872312440206519,25.64102564102564,10.256410256410255
70,9Iron,first3,truth,39,17.615213933933212,22.12999999999998,-4.514786066066769,21.637433772460533,-4.02221983852732,-5.113136683071834,-3.9363932641854196,19.528313892342922,0.8188459259625831,0.87232829027775,25.64102564102564,10.256410256410255
70,9Iron,middle3,local,31,17.32465423980715,22.12999999999998,-4.805345760192832,21.540684937083505,-4.216030697276356,-9.321959248662342,-2.43766776636388,21.874164671275462,0.8305213872832722,0.872312440206519,54.83870967741935,12.903225806451612
