shot,club,block,model,window,center_source,tdm_residual,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
80,7Iron,A,two2,hann,peak,none,all,3.8,23,6,12.836074075133864,14.687999999999988,-1.8519259248661246,-0.7749951980030209,-0.7624509939299222,0.012544204073098641,nan,0.25975454695729644,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
80,7Iron,A,four3,hann,peak,none,all,3.8,23,6,14.238700802219196,14.687999999999988,-0.4492991977807925,-0.8679077504729364,-0.8677363202751766,0.000171430197759892,0.22955866483829251,0.29746971651895976,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
80,7Iron,A,four4,hann,peak,none,all,3.8,23,6,11.998631670774895,14.687999999999988,-2.6893683292250934,-1.0906590393022892,-1.0838299330053902,0.006829106296899035,0.47859708524527567,0.24964152745048948,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
81,7Iron,A,direct1,hann,peak,none,all,3.8,20,5,5.428223016762694,9.146999999999982,-3.718776983237288,-0.6843830139327967,-0.642852229393369,0.04153078453942771,nan,nan,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
81,7Iron,A,two2,hann,peak,none,all,3.8,20,5,6.468897605496696,9.146999999999982,-2.678102394503287,-0.7554365549664108,-0.7449921818852145,0.010444373081196279,nan,0.3071905365523248,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
81,7Iron,A,four3,hann,peak,none,all,3.8,20,5,4.0497364420663065,9.146999999999982,-5.097263557933676,-0.7959740311857143,-0.7813641270138779,0.014609904171836385,0.48903795003450556,0.5167196786825305,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
81,7Iron,A,four4,hann,peak,none,all,3.8,20,5,5.2186257206915485,9.146999999999982,-3.928374279308434,-0.9922500496987002,-0.9825152991930741,0.00973475050562611,0.7595515838461142,0.4919398072988582,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
82,7Iron,A,direct1,hann,peak,none,all,3.8,23,6,13.34563774394611,17.27599999999998,-3.9303622560538685,-0.8403975973064591,-0.7706881538796191,0.06970944342684005,nan,nan,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
82,7Iron,A,two2,hann,peak,none,all,3.8,23,6,13.120254161030594,17.27599999999998,-4.155745838969384,-0.936226336359188,-0.8558203278027828,0.08040600855640512,nan,0.26290381289830406,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
82,7Iron,A,four3,hann,peak,none,all,3.8,23,6,15.588387020626985,17.27599999999998,-1.687612979372993,-1.0500835035140135,-1.0440529064257211,0.006030597088292344,0.2888612828719035,0.1518090748285718,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
82,7Iron,A,four4,hann,peak,none,all,3.8,23,6,14.67051543825737,17.27599999999998,-2.6054845617426086,-1.1815752343857928,-1.170035091482435,0.01154014290335792,0.30108774610633604,0.13462336458095958,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
83,7Iron,A,direct1,hann,peak,none,all,3.8,20,5,11.800788458025801,18.87599999999999,-7.0752115419741894,-0.851922149088756,-0.7005784283992293,0.15134372068952662,nan,nan,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
83,7Iron,A,two2,hann,peak,none,all,3.8,20,5,12.556137933324319,18.87599999999999,-6.319862066675672,-0.9423716316055568,-0.7905148280618377,0.1518568035437191,nan,0.23168967910605326,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
83,7Iron,A,four3,hann,peak,none,all,3.8,20,5,13.530626668096572,18.87599999999999,-5.345373331903419,-1.0112063107926792,-0.9733626792178741,0.03784363157480508,0.22135457397525105,0.19883980499215073,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
83,7Iron,A,four4,hann,peak,none,all,3.8,20,5,13.868385494192514,18.87599999999999,-5.007614505807476,-1.1733382765502987,-1.1380006933361206,0.035337583214178014,0.32278792343248613,0.16089648405295415,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
84,7Iron,A,direct1,hann,peak,none,all,3.8,12,3,12.403868611161254,16.949999999999992,-4.546131388838738,-1.0445596430921682,-0.9619148295848818,0.08264481350728636,nan,nan,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
84,7Iron,A,two2,hann,peak,none,all,3.8,12,3,12.3644566908142,16.949999999999992,-4.585543309185793,-1.1212239444595917,-1.0462863920527148,0.07493755240687694,nan,0.183769422347302,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
84,7Iron,A,four3,hann,peak,none,all,3.8,12,3,15.728666766982963,16.949999999999992,-1.2213332330170292,-1.176491084870442,-1.173872653647815,0.002618431222626949,0.25503657112240974,0.1651467636545316,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
84,7Iron,A,four4,hann,peak,none,all,3.8,12,3,15.696717100487968,16.949999999999992,-1.2532828995120244,-1.2421220959297283,-1.241305288349228,0.0008168075805004005,0.30273368627097635,0.11578115845500137,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
86,5Iron,A,direct1,hann,peak,none,all,3.8,20,5,12.606847925190365,14.677,-2.0701520748096343,-0.8614040691295791,-0.8503153801306119,0.0110886889989672,nan,nan,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
86,5Iron,A,two2,hann,peak,none,all,3.8,20,5,10.917671845100699,14.677,-3.7593281548993005,-0.9811720712399794,-0.9359662847551571,0.04520578648482232,nan,0.2645484140504002,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
86,5Iron,A,four3,hann,peak,none,all,3.8,20,5,13.331285774325526,14.677,-1.3457142256744739,-1.1292335967612426,-1.1272293924035026,0.002004204357739958,0.37187353390989253,0.2529877425835529,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
86,5Iron,A,four4,hann,peak,none,all,3.8,20,5,9.150015327624214,14.677,-5.526984672375786,-1.3496027386998253,-1.3099275602875315,0.03967517841229373,0.5764754550804142,0.26335158222220234,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
87,5Iron,A,direct1,hann,peak,none,all,3.8,20,6,13.320795997394619,15.406999999999991,-2.0862040026053723,-0.9676230595249572,-0.9427508439100859,0.024872215614871296,nan,nan,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
87,5Iron,A,two2,hann,peak,none,all,3.8,20,6,12.487285404795662,15.406999999999991,-2.9197145952043293,-1.0339850902658443,-1.0034946815731016,0.030490408692742665,nan,0.18952764800231683,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
87,5Iron,A,four3,hann,peak,none,all,3.8,20,6,14.687856336960024,15.406999999999991,-0.7191436630399668,-1.1544159195673973,-1.1532267093529487,0.0011892102144486216,0.25956570521295896,0.15692039510015965,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
87,5Iron,A,four4,hann,peak,none,all,3.8,20,6,12.05271484879497,15.406999999999991,-3.354285151205021,-1.332889135021914,-1.3169272820052693,0.015961853016644767,0.3508498069214371,0.17317019280491305,52.84004041234901,51.122749823040635,0.1524,10.404948650719305
88,5Iron,A,direct1,hann,peak,none,all,3.8,24,6,-5.0,0.5110000000000001,-5.511,-0.9631901138813704,-0.7898766409879466,0.1733134728934238,nan,nan,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
88,5Iron,A,two2,hann,peak,none,all,3.8,24,6,-3.7399769074084097,0.5110000000000001,-4.250976907408409,-1.08151466997614,-1.0626701518974588,0.01884451807868115,nan,0.6439937626702528,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
88,5Iron,A,four3,hann,peak,none,all,3.8,24,6,-5.0,0.5110000000000001,-5.511,-1.123951973912893,-1.1013065936394686,0.02264538027342433,0.9646146742431401,0.8520190494802136,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
88,5Iron,A,four4,hann,peak,none,all,3.8,24,6,-5.0,0.5110000000000001,-5.511,-1.1762760300420196,-1.1522464650290691,0.024029565012950505,1.000199749055641,0.9795247645100722,44.07807093618961,43.00582860650462,0.1524,10.404948650719305
90,5Iron,A,direct1,hann,peak,none,all,3.8,17,5,5.094541877341438,12.959999999999992,-7.865458122658554,-0.832573020549288,-0.6808454944743503,0.15172752607493767,nan,nan,54.04704641161587,50.56141437408992,0.1524,10.404948650719305
90,5Iron,A,two2,hann,peak,none,all,3.8,17,5,7.754125421853852,12.959999999999992,-5.20587457814614,-0.922057893263929,-0.8538472522571732,0.06821064100675578,nan,0.3203093297898799,54.04704641161587,50.56141437408992,0.1524,10.404948650719305
