shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
74,7Iron,A,four3,hann,track,positive,17,5,16.129352637823292,16.30699999999998,-0.17764736217668897,-1.0589034387900147,-1.0588872582660165,1.618052399821046e-05,0.14345627260725,0.15109176447656372,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,four4,hann,track,positive,17,5,16.893398158996394,16.30699999999998,0.5863981589964133,-1.2523680669191475,-1.251849238493309,0.0005188284258383913,0.20222132955582822,0.1452675007421296,53.91293463391955,52.245087594089,0.1524,10.404948650719305
75,7Iron,A,direct1,hann,track,positive,22,7,15.333734045480503,17.240999999999993,-1.9072659545194899,-0.9407056289185867,-0.918914674157669,0.021790954760917636,nan,nan,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,two2,hann,track,positive,22,7,15.266159577329713,17.240999999999993,-1.9748404226702796,-1.0155494138135777,-0.9922320151489389,0.023317398664638778,nan,0.16683113561525337,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,four3,hann,track,positive,22,7,15.003331422397848,17.240999999999993,-2.237668577602145,-1.1087351238191874,-1.0970307275413966,0.01170439627779074,0.2158575721882357,0.17587026836016562,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,four4,hann,track,positive,22,7,14.135395281095851,17.240999999999993,-3.105604718904141,-1.2090508851844732,-1.1955011384525773,0.013549746731895906,0.25113431525490904,0.1428414848443207,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
76,7Iron,A,direct1,hann,track,positive,21,6,6.578847459015905,12.092000000000013,-5.513152540984108,-0.8430849167383,-0.7613655492411237,0.08171936749717634,nan,nan,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,two2,hann,track,positive,21,6,8.576470814970744,12.092000000000013,-3.515529185029269,-0.9545485989846053,-0.9236732145490393,0.030875384435566033,nan,0.3076696562211187,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,four3,hann,track,positive,21,6,9.530009510518346,12.092000000000013,-2.5619904894816674,-0.9939553027620763,-0.9886887882650314,0.005266514497044961,0.2694198127661012,0.3753126686713156,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,four4,hann,track,positive,21,6,7.248203232972264,12.092000000000013,-4.843796767027749,-1.279146174571806,-1.264625465008728,0.014520709563077938,0.5953439696605733,0.3147131335950195,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
